# PSI-MS ontology snapshot: data-version 4.1.261
# Generated by scripts/fetch_psi_ms_cv.sh; columns: accession, name, obsolete
MS:1000002	sample name	
MS:1000016	scan start time	
MS:1000026	detector type	
MS:1000031	instrument model	
MS:1000040	m/z	
MS:1000041	charge state	
MS:1000042	peak intensity	
MS:1000045	collision energy	
MS:1000070	atmospheric pressure chemical ionization	
MS:1000071	chemical ionization	
MS:1000073	electrospray ionization	
MS:1000074	fast atom bombardment ionization	
MS:1000075	matrix-assisted laser desorption ionization	
MS:1000082	quadrupole ion trap	
MS:1000107	channeltron	
MS:1000112	faraday cup	
MS:1000114	microchannel plate detector	
MS:1000127	centroid spectrum	
MS:1000128	profile spectrum	
MS:1000129	negative scan	
MS:1000130	positive scan	
MS:1000131	number of detector counts	
MS:1000133	collision-induced dissociation	
MS:1000253	electron multiplier	
MS:1000285	total ion current	
MS:1000287	time-of-flight mass spectrometer	
MS:1000293	mass spectrometer	
MS:1000303	transmission quadrupole mass spectrometer	
MS:1000345	array detector	
MS:1000346	conversion dynode	
MS:1000349	ion-to-photon detector	
MS:1000382	atmospheric pressure photoionization	
MS:1000389	electron ionization	
MS:1000504	base peak m/z	
MS:1000505	base peak intensity	
MS:1000511	ms level	
MS:1000512	filter string	
MS:1000514	m/z array	
MS:1000515	intensity array	
MS:1000521	32-bit float	
MS:1000523	64-bit float	
MS:1000527	highest observed m/z	
MS:1000528	lowest observed m/z	
MS:1000529	instrument serial number	
MS:1000530	file format conversion	
MS:1000531	software	
MS:1000544	Conversion to mzML	
MS:1000574	zlib compression	
MS:1000576	no compression	
MS:1000579	MS1 spectrum	
MS:1000580	MSn spectrum	
MS:1000586	contact name	
MS:1000587	contact address	
MS:1000589	contact email	
MS:1000590	contact affiliation	
MS:1000744	selected ion m/z	
MS:1000795	no combination	
MS:1000824	no nativeID format	
MS:1000827	isolation window target m/z	
MS:1000828	isolation window lower offset	
MS:1000829	isolation window upper offset	
MS:1001269	instrument vendor	
MS:1002271	liquid chromatography separation	
MS:1002272	gas chromatography separation	
MS:1002441	Andi-MS format	
MS:1003151	SHA-256	
MS:1003948	fourier transform ion cyclotron resonance instrument	
MS:1003949	magnetic sector instrument	
MS:1003953	orbitrap instrument	
UO:0000010	second	
UO:0000031	minute	
UO:0000266	electronvolt	
